Z,A,Graph_Radius,Relaxed_Fiedler_Stiffness
110,310,245.748886,0.000016
110,311,245.748895,0.000016
111,313,245.748920,0.000016
111,314,245.748931,0.000016
111,315,245.748944,0.000016
112,317,245.714544,0.000014
112,318,245.714556,0.000014
112,319,245.714566,0.000014
113,320,245.714577,0.000014
113,321,245.714587,0.000014
113,322,245.714598,0.000014
114,324,245.728865,0.000014
114,325,245.728882,0.000014
114,326,245.728890,0.000014
115,328,245.728911,0.000014
115,329,245.728927,0.000014
115,330,245.728937,0.000014
116,331,245.719636,0.000013
116,332,245.719648,0.000013
116,333,245.719659,0.000013
117,335,245.719684,0.000013
117,336,245.719693,0.000013
117,337,245.719706,0.000013
118,339,245.719060,0.000012
118,340,245.719072,0.000012
118,341,245.719083,0.000012
